UPE | 
07/27/2025 02:16:56 PM
,Intel® Core™ Ultra 5 Processor 235TA (24M Cache- up to 5.00 GHz)

Essentials
Product Collection,Intel® Core™ Ultra Processors (Series 2)
Code Name,Products formerly Arrow Lake
Vertical Segment,Desktop
Processor Number,235TA
Overall Peak TOPS (Int8),27
Recommended Customer Price,$269.00

CPU Specifications
Total Cores,14
# of Performance-cores,6
# of Efficient-cores,8
Total Threads,14
Max Turbo Frequency,5 GHz
Performance-core Max Turbo Frequency,5 GHz
Efficient-core Max Turbo Frequency,4.4 GHz
Performance-core Base Frequency,2.2 GHz
Efficient-core Base Frequency,1.6 GHz
Cache,24 MB Intel® Smart Cache
Total L2 Cache,26 MB
Processor Base Power,35 W
Maximum Turbo Power,114 W
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
AI Software Frameworks Supported by CPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN | 
CPU Lithography,TSMC N3B

Supplemental Information
Marketing Status,Launched
Launch Date,Q3'25
Embedded Options Available,No
Use Conditions,PC/Client/Tablet |  Workstation

Memory Specifications
Max Memory Size (dependent on memory type),256 GB
Memory Types,Up to DDR5 6400 MT/s
Max # of Memory Channels,2
ECC Memory Supported   ‡,Yes

GPU Specifications
Graphics Base Frequency,300 MHz
Graphics Max Dynamic Frequency,2 GHz
GPU Peak TOPS (Int8),6
Graphics Output,DP2.1 UHBR20 |  HDM2.1 FRL 12GHz |  eDP1.4b
Xe-cores,3
Max Resolution (HDMI)‡,4K @ 60Hz (HDMI 2.1 TMDS) 8K @ 60Hz (HDMI2.1 FRL)
Max Resolution (DP)‡,8K @ 60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4K @ 60Hz
DirectX* Support,12
OpenGL* Support,4.5
OpenCL* Support,3
Intel® Quick Sync Video,Yes
# of Displays Supported ‡,4
Device ID,0x7D67
Intel® Deep Learning Boost (Intel® DL Boost) on GPU,Yes

NPU Specifications
NPU Name‡,Intel® AI Boost
NPU Peak TOPS (Int8),13
Sparsity Support,Yes
Windows Studio Effects Support,Yes
AI Software Frameworks Supported by NPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN

Expansion Options
Direct Media Interface (DMI) Revision,4
Max # of DMI Lanes,8
Intel® Thunderbolt™ 4,Yes
Scalability,1S Only
PCI Express Revision,5.0 and 4.0
PCI Express Configurations ‡,Up to 1x16+2x4 |  2x8+2x4 | 1x8+4x4
Max # of PCI Express Lanes,24

Package Specifications
Sockets Supported,FCLGA1851
Thermal Solution Specification,PCG 2022D
Max Operating Temperature,105 °C

Advanced Technologies
Intel® Gaussian & Neural Accelerator,3.5
Intel® Thread Director,Yes
Intel® Speed Shift Technology,Yes
Intel® Turbo Boost Technology ‡,2.0
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Volume Management Device (VMD),Yes

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Enterprise
Intel® Threat Detection Technology (TDT),Yes
Intel® Active Management Technology (AMT) ‡,Yes
Intel® Standard Manageability (ISM) ‡,Yes
Intel® Remote Platform Erase (RPE) ‡,Yes
Intel® One-Click Recovery ‡,Yes
Intel® Secure Key,Yes
Intel® Control-Flow Enforcement Technology,Yes
Intel® Total Memory Encryption - Multi Key,Yes
Intel® AES New Instructions,Yes
Intel® Trusted Execution Technology ‡,Yes
Execute Disable Bit ‡,Yes
Intel® OS Guard,Yes
Intel® Boot Guard,Yes
Mode-based Execute Control (MBEC),Yes
Intel® Stable IT Platform Program (SIPP),Yes
Intel® Virtualization Technology with Redirect Protection (VT-rp) ‡,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
